Algorithm_Name,Input_Dimensions,Execution_Time(ms),Winning
Strassen_Matrix_Multiplication_GPU,1456,7.61019,3
Tiled_Matrix_Multiplication_GPU,1456,3.641414,3
Naive_GPU,1488,4.550445,3
naive_matrix_cpu,1488,800000,3
Strassen_Matrix_Multiplication_CPU,1488,48789.5625,3
Strassen_Matrix_Multiplication_GPU,1488,9.353433,3
Tiled_Matrix_Multiplication_GPU,1488,4.306515,3
Naive_GPU,1520,5.960288,3
naive_matrix_cpu,1520,800000,3
Strassen_Matrix_Multiplication_CPU,1520,48904.39844,3
Strassen_Matrix_Multiplication_GPU,1520,7.557999,3
Tiled_Matrix_Multiplication_GPU,1520,4.154605,3
Naive_GPU,1552,5.729613,3
naive_matrix_cpu,1552,800000,3
Strassen_Matrix_Multiplication_CPU,1552,48906.55469,3
Strassen_Matrix_Multiplication_GPU,1552,8.145334,3
Tiled_Matrix_Multiplication_GPU,1552,5.293837,3
Naive_GPU,1584,7.745062,3
naive_matrix_cpu,1584,800000,3
Strassen_Matrix_Multiplication_CPU,1584,48826.46875,3
Strassen_Matrix_Multiplication_GPU,1584,7.749453,3
Tiled_Matrix_Multiplication_GPU,1584,5.958976,3
Naive_GPU,1616,7.037945,3
naive_matrix_cpu,1616,800000,3
Strassen_Matrix_Multiplication_CPU,1616,48782.67188,3
Strassen_Matrix_Multiplication_GPU,1616,10.344289,3
Tiled_Matrix_Multiplication_GPU,1616,6.832621,3
Naive_GPU,1648,6.809312,3
naive_matrix_cpu,1648,800000,3
Strassen_Matrix_Multiplication_CPU,1648,49087.67578,3
Strassen_Matrix_Multiplication_GPU,1648,9.297915,3
Tiled_Matrix_Multiplication_GPU,1648,5.235552,3
Naive_GPU,1680,7.685741,3
naive_matrix_cpu,1680,800000,3
Strassen_Matrix_Multiplication_CPU,1680,48998.83203,3
Strassen_Matrix_Multiplication_GPU,1680,8.841307,3
Tiled_Matrix_Multiplication_GPU,1680,4.636557,3
Naive_GPU,1712,8.064461,3
naive_matrix_cpu,1712,800000,3
Strassen_Matrix_Multiplication_CPU,1712,48916.22266,3
Strassen_Matrix_Multiplication_GPU,1712,11.801945,3
Tiled_Matrix_Multiplication_GPU,1712,4.837965,3
Naive_GPU,1744,7.181715,3
naive_matrix_cpu,1744,800000,3
Strassen_Matrix_Multiplication_CPU,1744,48937.76953,3
Strassen_Matrix_Multiplication_GPU,1744,10.905446,3
Tiled_Matrix_Multiplication_GPU,1744,5.196237,3
Naive_GPU,1776,10.120595,3
naive_matrix_cpu,1776,800000,3
Strassen_Matrix_Multiplication_CPU,1776,49044.33984,3
Strassen_Matrix_Multiplication_GPU,1776,9.939153,3
Tiled_Matrix_Multiplication_GPU,1776,5.271155,3
Naive_GPU,1808,7.760934,3
naive_matrix_cpu,1808,800000,3
Strassen_Matrix_Multiplication_CPU,1808,49250.57813,3
Strassen_Matrix_Multiplication_GPU,1808,11.894991,3
Tiled_Matrix_Multiplication_GPU,1808,5.530195,3
Naive_GPU,1840,5.961146,3
naive_matrix_cpu,1840,800000,3
Strassen_Matrix_Multiplication_CPU,1840,48889.19531,3
Strassen_Matrix_Multiplication_GPU,1840,12.658649,3
